ticker,name,Sector,SubIndustry,Address,tech
DTV,DirecTV,Consumer Discretionary,Broadcasting & Cable TV,"El Segundo, California",0
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",0
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",0
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",0
EA,Electronic Arts,Information Technology,Application Software,"Redwood City, California",0
EBAY,eBay Inc.,Information Technology,Internet Software & Services,"San Jose, California",1
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",0
ED,Consolidated Edison,Utilities,Multi-Utilities & Unregulated Power,"New York, New York",0
EFX,Equifax Inc.,Financials,Diversified Financial Services,"Atlanta, Georgia",0
EIX,Edison Int'l,Utilities,Multi-Utilities & Unregulated Power,"Rosemead, California",0
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",0
EMC,EMC Corp.,Information Technology,IT Consulting & Services,"Hopkinton, Massachusetts",1
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",0
EMR,Emerson Electric,Industrials,Industrial Conglomerates,"Ferguson, Missouri",0
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0
EQR,Equity Residential,Financials,REITs,"Chicago, Illinois",0
EQT,EQT Corporation,Energy,,"Pittsburgh, Pennsylvania",0
ESRX,Express Scripts,Health Care,Health Care Distributors & Services,"Cool Valley, Missouri",0
ESV,Ensco plc,Energy,Oil & Gas Drilling,"London, United Kingdom",0
ETFC,E-Trade,Financials,Diversified Financial Services,"New York, New York",0
ETN,Eaton Corp.,Industrials,Industrial Conglomerates,"Cleveland, Ohio",0
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",0
EW,Edwards Lifesciences,Health Care,Health Care Equipment & Services,"Irvine, California",0
EXC,Exelon Corp.,Utilities,Multi-Utilities & Unregulated Power,"Chicago, Illinois",0
EXPD,Expeditors Int'l,Industrials,Air Freight & Logistics,"Seattle, Washington",0
EXPE,Expedia Inc.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bellevue, Washington",0
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",0
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",0
FCX,Freeport-McMoran Cp & Gld,Materials,Diversified Metals & Mining,"Phoenix, Arizona",0
FDO,Family Dollar Stores,Consumer Discretionary,General Merchandise Stores,"Matthews, North Carolina",0
